,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
0,0.1,-1.6526187406999415,-0.770345020744315,4.734495396887597,0.0,-0.3084375557231187,-0.3007914990242244,0.07176581673271074,0.0,-0.0027898284909488856,0.0,0.022236524251455572,0.0,14.0,0.010271773313286839,-0.16695870780573344,0.75,-0.027689616017543554,-1.2253899931463872,-0.21645297377734543,4.9209460937302865,0.0,0.0,0.0
1,0.2,-1.6460069469101375,-0.7723960236341691,4.7364081765325485,0.0,-0.30621390329797293,-0.3007914990242244,0.14268752328485343,4.831167255488559e-06,-0.005988289573576755,2.0558158533993864e-05,0.03233232853249743,-3.5296570516680945e-05,14.0,0.01631146723067544,-0.27588856760125774,0.7141170916336447,-0.12353618486440765,-1.2246242202972137,-0.302159707192868,4.921117360405699,0.0,0.0,0.0
2,0.30000000000000004,-1.6328402297093334,-0.7764798821848046,4.7401385313223345,3.17174500841233e-06,-0.3029806704447231,-0.3007952008854833,0.21259988249630724,-3.953388816074772e-05,-0.00881843994470563,-0.00018490517650942125,0.0379662200842638,0.0002961097432729729,14.0,-0.036575182841446285,-0.3584586369336048,0.6786562383575733,-0.12353004688540228,-1.2245897107633834,-0.3004553911331212,4.9208450902885925,0.0,0.0,0.0
3,0.4,-1.6132095453270228,-0.7825736090618557,4.74564012093483,-2.4579080401654352e-05,-0.2991840485302344,-0.30076416419121355,0.28135761633125345,-0.0002151989677041939,-0.010795433531624885,-0.0007877725068215419,0.043721126642341436,0.0015121921992136333,14.0,-0.07238176359872409,-0.4135053498218362,0.6437000587518464,-0.1236135393362966,-1.2245211585052536,-0.29955278037206656,4.920227490933151,0.0,0.0,0.0
4,0.5,-1.587233028901374,-0.7906534012575285,4.752901285586324,-0.00014996561115010465,-0.2948119321504916,-0.30060602757874566,0.3488417166473686,-0.0005910440424462167,-0.011631416498543606,-0.0015526496827511739,0.05177112447680138,0.003899308739698717,14.0,-0.09647192485440635,-0.4502031584139904,0.6093211918343733,-0.12381001227730476,-1.2244250868989621,-0.29928789114353505,4.91924799259809,0.0,0.0,0.0
5,0.6000000000000001,-1.5550454337898587,-0.800693630217473,4.761924275552632,-0.00042340153980857664,-0.2896347612848058,-0.30019932672336136,0.4149546550208697,-0.001215439957370995,-0.011156682796253767,-0.0019374619826873084,0.0628489499447414,0.007493589333236939,14.0,-0.11236221942829645,-0.47466836414209324,0.5755791416763156,-0.12408922461147937,-1.2243158313342504,-0.2994338559533067,4.917930661239957,0.0,0.0,0.0
6,0.7000000000000001,-1.5167885172946116,-0.812663965815659,4.77270632321671,-0.0008396749422212579,-0.28334954957395775,-0.2994201758978323,0.4796110602566309,-0.0021187331410190643,-0.009272048625696699,-0.0013973158868340473,0.0769326129758364,0.012155145898884761,14.0,-0.12241951749754654,-0.49097850129416176,0.5425226724895651,-0.12439917428461175,-1.22421139687092,-0.29976476134158103,4.916317465010851,0.0,0.0,0.0
7,0.8,-1.4726037848146447,-0.8265263931407408,4.785224901997621,-0.0013314642295090273,-0.2756552703514332,-0.2981609074673126,0.5427284145008933,-0.003316273199101122,-0.005923080008101413,0.000342407435475529,0.09365706735591495,0.01765064679228965,14.0,-0.12829284723707488,-0.5018519260622074,0.5101944698716845,-0.12468352835465177,-1.2241278266353304,-0.3000797968150169,4.914447736267376,0.0,0.0,0.0
8,0.9,-1.4226277726005319,-0.8422328965224589,4.799427228539726,-0.0017929552536024573,-0.26628722179779984,-0.2963395529545432,0.6042199389507777,-0.004809438795047706,-0.0010868045261138992,0.0031782693109618666,0.11254242147243168,0.023718423853421395,14.0,-0.1311598535383528,-0.5091008759075712,0.47863579274955337,-0.12489044679022786,-1.2240741550309857,-0.30020978701823026,4.9123423198101825,0.0,0.0,0.0
9,1.0,-1.366989604114775,-0.8597239673433129,4.8152233392573445,-0.0021165790710004906,-0.2550287451350064,-0.2939019793852391,0.6639902974795102,-0.006585129442686088,0.005235059689251944,0.0067000523929169765,0.1331083906850228,0.03010985721777957,14.0,-0.13186355674940373,-0.5139335091378138,0.4478900305246111,-0.12497616579420523,-1.2240487708561179,-0.300016286893984,4.909992435666302,0.0,0.0,0.0
